,#,Name_with_Channel_id,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Name,ChannelId,subscriber_count,view_count,video_count
0,1,Die Antwoord @UC6DicDItkLQ7N4ag1JS5mqg,3.3M,1.3%,South Africa,,978K,Die Antwoord ,UC6DicDItkLQ7N4ag1JS5mqg,3360000,1191366153,117
1,2,Noel Deyzel @UCMp-0bU-PA7BNNR-zIvEydA,2.9M,-,South Africa,,864K,Noel Deyzel ,UCMp-0bU-PA7BNNR-zIvEydA,5330000,2204276315,327
2,3,Openmic Productions @UCzMzPGGVKpjZAJy1aOAUieA,2.4M,-,South Africa,Marketing and Advertising Music,732K,Openmic Productions ,UCzMzPGGVKpjZAJy1aOAUieA,2930000,1306637423,670
3,4,The Supa Strikas - Kids Soccer Cartoon @UCdtojT_ZwTRlZThoBSMVhoQ,2M,-,South Africa,,597K,The Supa Strikas - Kids Soccer Cartoon ,UCdtojT_ZwTRlZThoBSMVhoQ,2570000,1212303993,1318
4,5,Boomerang Africa @UCgGq2xHDvUHSUzs7VOIdKKw,2M,-,South Africa,,594K,Boomerang Africa ,UCgGq2xHDvUHSUzs7VOIdKKw,2050000,834756471,676
5,6,Cartoon Network Africa @UCYXAcMNZRdYkR-vKV3OO1DQ,1.9M,-,South Africa,Travel Video Gaming,555K,Cartoon Network Africa ,UCYXAcMNZRdYkR-vKV3OO1DQ,2110000,1357774672,2331
6,7,SABC News @UC8yH-uI81UUtEMDsowQyx1g,1.6M,-,South Africa,,480K,SABC News ,UC8yH-uI81UUtEMDsowQyx1g,2450000,1279828642,222431
7,8,Pastor Alph Lukau @UCmBMGitwFg3dDFNtOSQT1JQ,1.5M,-,South Africa,,435K,Pastor Alph Lukau ,UCmBMGitwFg3dDFNtOSQT1JQ,1630000,415916080,6033
8,10,Wian @UC3xgevNpGmAgWpdjtTXR20w,1.2M,-,South Africa,,360K,Wian ,UC3xgevNpGmAgWpdjtTXR20w,5020000,4410914992,608
9,11,DJ Arch Jnr @UCQ1hYup0TxMjuGInZFkftzA,1.2M,-,South Africa,,345K,DJ Arch Jnr ,UCQ1hYup0TxMjuGInZFkftzA,1220000,195518609,330
10,12,The Kiffness @UCFy846QdKs3LbLgBpSqPcdg,1.2M,2.7%,South Africa,,345K,The Kiffness ,UCFy846QdKs3LbLgBpSqPcdg,2640000,586723896,221
11,13,michael jamison @UC3SIm-UNl4Ou381-PYKzU8w,1.1M,-,South Africa,Pets,342K,michael jamison ,UC3SIm-UNl4Ou381-PYKzU8w,1140000,523029270,1836
12,14,OMFilms @UCEZ6QFA7F37E--lqew7wbAQ,1.1M,-,South Africa,,333K,OMFilms ,UCEZ6QFA7F37E--lqew7wbAQ,1420000,308613346,356
13,15,Nasty_C @UC01ompoZ0RMCuWP2ZODqzbg,947K,0.4%,South Africa,,284.1K,Nasty_C ,UC01ompoZ0RMCuWP2ZODqzbg,1270000,261773155,199
14,16,Spirittunez @UCVTDsWA7ItkDj9vt9Kt_oCw,942K,-,South Africa,,282.6K,Spirittunez ,UCVTDsWA7ItkDj9vt9Kt_oCw,1070000,449114562,664
15,17,MzansiMagicOfficial @UCSEibSG6dlUJvkC40IpNMRQ,931K,-,South Africa,,279.3K,MzansiMagicOfficial ,UCSEibSG6dlUJvkC40IpNMRQ,1190000,601844632,9364
16,18,DLM Men's Lifestyle @UC07qAfGd_Tqu8xRG6yPtw3A,863K,-,South Africa,,258.9K,DLM Men's Lifestyle ,UC07qAfGd_Tqu8xRG6yPtw3A,1010000,50100731,439
17,19,Steegs Vlogs @UCrwNyJioqAkfjQgqpQE-VtA,863K,-,South Africa,,258.9K,Steegs Vlogs ,UCrwNyJioqAkfjQgqpQE-VtA,814000,294903492,340
18,20,Zee World Africa @UCdxk_T-82-s_J4ChPpw2sdg,829K,-,South Africa,,248.7K,Zee World Africa ,UCdxk_T-82-s_J4ChPpw2sdg,965000,222465273,3755
19,21,MDM Sketch Comedy @UCedZvSQVma70F1O67NOuYZw,803K,-,South Africa,,240.9K,MDM Sketch Comedy ,UCedZvSQVma70F1O67NOuYZw,990000,332033649,395
20,22,Zee TV Africa @UC5QOxgivpL-StHjEaEu92gg,802K,-,South Africa,,240.6K,Zee TV Africa ,UC5QOxgivpL-StHjEaEu92gg,916000,590598266,2219
21,23,Dan Mace @UCZfPrUL62TN74Mmrn-O_pZQ,795K,0.4%,South Africa,,238.5K,Dan Mace ,UCZfPrUL62TN74Mmrn-O_pZQ,854000,45452874,123
22,24,MacG @UC7BXdXFxVgMPKmBeDgx2QrQ,770K,1.3%,South Africa,,231K,MacG ,UC7BXdXFxVgMPKmBeDgx2QrQ,1340000,276577335,1944
23,25,Lasizwe Dambuza @UCVbVao4QtBLarbX01DX9YRg,763K,0.3%,South Africa,,228.9K,Lasizwe Dambuza ,UCVbVao4QtBLarbX01DX9YRg,897000,106612319,245
24,26,Ambitiouz Entertainment @UCniUHTOy5nONQG1M4sSIHQg,736K,0.2%,South Africa,,220.8K,Ambitiouz Entertainment ,UCniUHTOy5nONQG1M4sSIHQg,895000,500387117,552
